Pay with Stripe, Payer avec Stripe
Stripe is not loaded. Please try again., Stripe n'est pas chargé. Veuillez réessayer.
Can not process payment. Please try again later., Impossible de traiter le paiement. Veuillez réessayer plus tard.
Some error occurred. Please try again later., Une erreur est survenue. Veuillez réessayer plus tard.
An unexpected error occurred. Please try again., Une erreur inattendue est survenue. Veuillez réessayer.
Processing Payment..., Traitement du paiement...
Order Placed, Commande passée
